ENSEMBL,Symbol,NPYWT_ZT0_dup1,NPYWT_ZT4_dup1,NPYWT_ZT8_dup1,NPYWT_ZT12_dup1,NPYWT_ZT16_dup1,NPYWT_ZT20_dup1,NPYWT_ZT0_dup2,NPYWT_ZT4_dup2,NPYWT_ZT8_dup2,NPYWT_ZT12_dup2,NPYWT_ZT16_dup2,NPYWT_ZT20_dup2,NPYKO_ZT0_dup1,NPYKO_ZT4_dup1,NPYKO_ZT8_dup1,NPYKO_ZT12_dup1,NPYKO_ZT16_dup1,NPYKO_ZT20_dup1,NPYKO_ZT0_dup2,NPYKO_ZT4_dup2,NPYKO_ZT8_dup2,NPYKO_ZT12_dup2,NPYKO_ZT16_dup2,NPYKO_ZT20_dup2
ENSMUSG00000030323,Ift122,7.066652377,7.267463737,7.669821128,7.648384069,7.181719554,7.229090686,7.523182119,7.238268728,7.332546938,7.314837668,7.149173707,7.737143576,7.189778914,6.888361286,7.500391445,7.357759348,7.330081871,7.031615705,7.56795773,7.268100248,7.355379137,7.487850813,7.359105278,7.379051113
ENSMUSG00000024169,Ift140,2.346818852,2.372530809,2.26872936,2.598330442,2.660830217,2.445840416,2.538517985,2.445275129,2.579948541,2.535484186,2.695858467,2.374028105,2.402084024,2.656158857,2.604407059,2.560635734,2.452552476,2.495578869,2.291748257,2.423812499,2.567689919,2.377570671,2.493410923,2.477248765
ENSMUSG00000001105,Ift20,5.427364708,6.396124199,5.601779155,6.035561328,6.252134592,5.982361159,6.018971366,5.499398366,5.54248489,4.816987946,5.425967251,5.675315812,5.652791976,4.726302887,5.189396714,5.573107158,5.689362806,5.275143123,6.760623789,5.093265735,5.091515393,6.439018113,5.672961478,6.261567463
ENSMUSG00000002031,Ift46,4.714953317,4.596849917,4.635806809,4.178626708,4.628814167,4.733331258,4.648763071,4.664887983,4.719424326,4.326400933,4.651304853,4.583792495,4.926494189,4.583161127,4.717041849,4.274561461,4.656071512,4.51383592,4.53996138,4.095718475,4.325789225,4.220120266,4.45402106,4.565129461
ENSMUSG00000017858,Ift52,7.709031902,7.456530454,7.513745347,7.368678374,7.727944232,7.494807142,7.299989173,7.686600445,7.432026664,7.055903737,7.264283248,7.409024795,7.107914815,6.948905606,7.35403191,6.88242745,7.114966027,7.56865858,7.246440442,7.420096171,7.252310606,6.811914682,7.665715306,7.322306247
ENSMUSG00000028576,Ift74,5.101115682,4.972446918,5.12373981,5.175432273,4.718384665,4.986439764,5.101038495,5.17720643,4.666879258,4.778254733,4.636408956,5.108224647,5.154390987,5.109284315,4.683415857,5.075463435,5.121155403,5.002723352,4.992959192,5.138162314,4.972451608,4.851769489,4.814978496,4.993956645
ENSMUSG00000029469,Ift81,4.180988836,4.082651853,4.514909265,4.19984417,4.131630729,3.625006994,4.030746497,4.486980058,4.027113428,4.141215405,3.725089209,4.240554421,4.272896706,4.078286264,3.67058954,4.40645615,4.373241222,3.246783906,4.454780692,3.676917582,4.224699386,5.481223358,4.92004691,3.543074193
ENSMUSG00000020053,Igf1,4.060138486,4.216615122,4.16262931,4.935445517,4.280629013,4.317693582,3.919417577,4.475178164,3.837277173,4.067133926,4.298311436,4.063026335,3.924975177,4.216014634,4.891694237,4.252549951,4.047019265,4.990625939,4.64103838,5.048671058,3.99357683,3.502837424,3.873072192,4.790265272
ENSMUSG00000005533,Igf1r,7.370902001,6.971077325,6.866434165,6.887810874,6.949570685,7.281970248,7.478665679,7.130411146,7.363678499,7.48918555,7.169494627,6.604032179,7.12839476,7.223153481,6.82221453,7.097828914,7.221871987,7.29330035,6.72940505,6.793119873,6.979335164,6.844335006,7.094981239,7.010261985
ENSMUSG00000048583,Igf2,5.519494414,5.546040616,5.435480641,5.462189253,5.387740574,5.34326671,5.539621357,5.346409932,5.375988657,5.601693407,5.458272589,5.598804196,5.63536022,5.42325573,5.676637202,5.514246091,5.589894222,5.698764448,5.468791826,5.658937037,5.456766448,5.828620036,5.400279162,5.311766675
