ENSEMBL,Symbol,WT_CT8_dup1,WT_CT8_dup2,WT_CT12_dup1,WT_CT12_dup2,WT_CT16_dup1,WT_CT16_dup2,WT_CT20_dup1,WT_CT20_dup2,WT_CT24_dup1,WT_CT24_dup2,WT_CT28_dup1,WT_CT28_dup2,KO_CT8_dup1,KO_CT8_dup2,KO_CT12_dup1,KO_CT12_dup2,KO_CT16_dup1,KO_CT16_dup2,KO_CT20_dup1,KO_CT20_dup2,KO_CT24_dup1,KO_CT24_dup2,KO_CT28_dup1,KO_CT28_dup2
ENSG00000141579,ZNF750,2.537642,2.882333,2.632627,2.626249,2.619319,2.683655,2.733051,2.672884,2.500717,2.733051,2.691326,2.646367,2.880612,2.676164,2.886379,2.608914,3.183173,2.559014,2.714506,2.521568,2.865841,2.988702,2.710355,2.735385
ENSG00000162086,ZNF75A,9.778569,9.804779,10.133113,9.956786,9.758877,10.118179,9.698361,10.034123,10.644572,9.832292,10.504075,10.005075,9.690033,9.709973,9.67192,10.116629,9.598074,9.760525,9.813618,9.795461,10.050317,9.931022,9.999917,9.797647
ENSG00000186376,ZNF75D,7.046628,7.0368375,7.148281,7.0548645,6.8247105,6.9854325,7.011836,7.19107,7.392699,7.117582,7.2107395,6.9955625,6.849706,6.898368,6.710831,7.117684,6.8655175,6.9827145,7.10361,7.0720355,7.124738,7.0530705,6.904318,7.063265
ENSG00000065029,ZNF76,8.321448,8.44921,8.361054,8.184109,8.327651,8.357348,8.359624,8.362745,8.875108,8.329585,8.362803,8.420334,8.308234,8.281773,7.941775,8.062058,7.879194,8.185509,7.977092,7.962061,8.461512,8.132081,8.525242,8.104439
ENSG00000160336,ZNF761,8.073832667,7.754274667,7.919677667,7.841843333,7.774951333,7.973276667,7.957655,7.894781667,8.049988333,7.854644333,8.002074333,7.857208667,7.516814,7.410447667,7.510407,7.655321667,7.526051,7.521955,7.734688333,7.717385667,7.782447333,7.592467,7.83015,7.537900667
ENSG00000197054,ZNF763,7.186888,7.38808,7.095488,7.328501,6.6652,7.437299,6.692008,7.051011,7.275251,7.319019,7.151509,7.277062,6.42059,5.489177,6.772599,6.170877,7.010786,5.592309,6.9734,6.170224,7.102273,5.965586,6.938857,5.900487
ENSG00000169951,ZNF764,8.051072333,7.952029,8.082240667,8.085711,8.412765333,8.072748667,8.360121333,7.84676,7.965126667,8.172409,8.143112,8.010751667,8.244589667,8.048292,8.011759,7.974971667,7.899528667,8.055618,8.486861,8.139743,8.304241,8.066597667,8.024292333,8.209953333
ENSG00000196417,ZNF765,6.9462845,6.8972555,6.817235,7.0956345,6.422948,7.289862,6.3881435,7.2959245,6.6423485,7.432679,6.8771355,6.9713485,6.5270855,6.495143,6.594768,6.6944595,6.5386605,6.5378935,6.7180575,6.5408555,6.928712,6.414473,6.784877,6.368527
ENSG00000196214,ZNF766,9.6779,9.539908,9.979655,9.601704,9.858718,9.852215,9.940584,9.620218,9.760512,9.724984,10.099191,9.695118,9.713257,9.469409,9.644473,9.477053,9.458199,9.607705,9.774741,9.62055,9.875357,9.7584,9.777831,9.632294
ENSG00000169957,ZNF768,7.888393,7.687835,7.889911,7.886257,7.877748,7.748712,7.732687,7.940435,7.959539,7.750659,7.732833,7.76486,7.905708,7.977346,7.607754,8.359593,7.64254,7.903953,7.476115,8.032001,7.866883,7.703156,7.996263,7.833877
ENSG00000175691,ZNF77,6.785506,6.330681,6.672981,7.007577,6.62621,7.22804,6.717033,6.947913,7.033703,6.489443,7.18958,6.551662,6.388555,6.817241,6.321807,6.94491,6.202181,6.785506,6.758868,6.623733,6.841041,6.509854,6.728404,6.698492
ENSG00000198146,ZNF770,10.01957633,10.070306,10.20747233,10.30366967,9.948081,10.34164533,10.19783567,10.36924867,10.628534,10.280651,10.69464633,10.265842,9.835255,9.856552667,10.07079567,10.142032,10.08460067,10.08981533,10.11004167,10.03046433,10.11403467,10.07519367,10.05336233,9.871278667
ENSG00000179965,ZNF771,5.536831667,5.501101667,5.634617667,5.583997667,5.582646333,5.427575667,5.307887667,5.403642,5.253932667,5.430747667,5.492537333,5.396986,5.504084333,5.383783,5.490226667,5.425036667,5.246163667,5.452318667,5.665038667,5.400708667,5.595411667,5.458258333,5.636939333,5.493877667
ENSG00000197128,ZNF772,9.332342,8.3426355,8.9373805,8.4760495,9.1380395,8.36134,9.265886,8.510416,8.5764265,8.680052,9.058698,8.497612,7.9106685,8.042356,8.1480495,7.897199,8.4130075,7.9695235,8.366413,8.138253,8.324438,8.253452,8.591135,7.9282515
ENSG00000152439,ZNF773,7.964412,8.084025,8.063568,7.9579,7.879591,8.262052,8.128836,8.212108,8.108683,8.069773,8.086346,8.251626,8.163692,8.042252,7.915026,7.888704,8.24473,7.909659,8.320031,7.959759,8.435701,8.126314,8.38446,7.973331
ENSG00000196391,ZNF774,3.760343,3.951872,3.837952,3.895302,4.06741,3.324155,3.76588,3.362986,3.850126,3.624432,3.542429,3.722179,3.691643,3.721291,3.915507,3.543636,3.81447,3.684602,4.010477,3.516273,3.767306,3.71258,3.460168,3.92538
ENSG00000196456,ZNF775,6.36541825,5.79487875,6.22281475,6.14121075,6.473248,6.0892345,6.3902935,6.197751,6.64575075,6.29777075,6.3132195,6.224484,6.18238875,6.110352,6.13208825,6.21015975,5.7813935,5.96715425,6.285019,6.1806385,6.2917255,6.19473825,6.28751075,6.454394
ENSG00000152443,ZNF776,10.1543195,9.904349,10.1342865,10.0594895,10.022258,10.158648,10.002075,10.1941235,10.1736355,10.058299,10.2720325,10.2006295,10.075582,9.9196085,10.0428545,10.3594805,9.8702485,10.1790405,10.0628835,10.0634695,9.840424,10.1811705,10.172134,10.2368495
ENSG00000196453,ZNF777,6.280303333,6.118975,6.128294,6.121655667,6.269452667,6.353995333,6.378167,6.389355,6.366336333,6.243660333,6.374345667,6.256793,6.107167,6.181425,6.190751,6.179343333,5.818989333,6.192382333,5.916814,6.274895,6.253492333,6.201867667,6.120586,6.411076333
ENSG00000170100,ZNF778,5.6998105,5.5094025,5.7210605,5.3823975,5.695965,5.492886,5.646099,5.5232895,5.659986,5.507377,5.9672305,5.550123,5.450197,5.453484,5.43025,5.364979,4.974456,5.422426,5.5959925,5.765966,5.7290305,5.236754,5.6229345,5.7602775
ENSG00000197782,ZNF780A,6.4629125,6.222737,6.44866025,6.5654725,6.1608225,6.672622,6.4243995,6.564228,6.74302925,6.3791925,6.650357,6.4127885,6.43185025,6.68299525,6.419371,6.87091275,6.33241375,6.5303135,6.41256925,6.5889855,6.71002225,6.3588065,6.61486125,6.3215085
ENSG00000128000,ZNF780B,4.8602365,4.7327775,4.976242,4.7377025,4.561997,4.804543,4.5008025,4.7450795,5.0395335,4.470846,5.105586,4.592433,4.5367055,4.5467455,4.307344,4.6181785,4.362602,4.271547,4.5348125,4.472739,4.646796,4.3827055,4.535311,4.4349635
ENSG00000196381,ZNF781,5.97294,5.8052705,6.3948425,6.172677,5.7620445,6.99495,5.9328105,6.203884,6.2672695,6.114737,6.858799,6.1559555,5.484338,5.5699455,5.740132,5.813276,5.501675,5.8968265,5.572225,5.503112,6.056204,5.2080515,5.724064,5.769649
ENSG00000196597,ZNF782,4.775258,4.418845667,4.803273,4.496499,4.233073,4.466526333,4.71754,4.504008333,4.966440667,4.224785333,5.176689,4.526274667,4.107663333,4.177192,4.239118667,4.632923667,3.990447667,4.148860667,4.800102667,4.587808667,4.414680667,4.220550333,4.322190667,4.648841
ENSG00000204946,ZNF783,9.499938,9.81589,9.753968,9.794849,9.598864,9.701717,9.860095,9.662729,9.805619,9.727715,9.716943,9.783459,9.667148,9.543367,9.501071,9.525868,9.490379,9.572753,9.685347,9.505831,9.867397,9.517745,9.703414,9.58388
ENSG00000179922,ZNF784,7.049513,7.029782,7.065403,7.151417,7.00057,7.045995,6.939327,7.018327,7.374939,6.759137,7.041839,6.965823,6.750841,7.070848,7.03361,7.019917,6.669669,7.086328,6.531118,7.045878,7.086186,7.170351,7.23718,6.914446
ENSG00000197162,ZNF785,6.478068,6.4833465,6.2690655,6.1589585,5.943776,6.631347,6.305535,6.399447,6.536575,6.080245,6.5879975,6.31315,5.822611,6.01839,5.760652,6.28444,6.345922,6.2789135,6.5223775,6.285491,6.0813875,6.3087455,6.096997,5.9689885
ENSG00000197362,ZNF786,7.529176,7.315128,7.7463335,7.383807,7.572402,7.5099245,7.2339655,7.845096,7.871341,7.5976265,7.7565085,7.268693,7.0821365,7.229098,7.089938,7.387319,7.013342,7.1187175,6.730745,7.3053675,7.2545025,7.1904805,7.2339645,7.0885325
ENSG00000142409,ZNF787,6.2518775,6.450951,6.447426,6.2879185,6.4754615,6.295695,6.269965,6.2960065,6.427876,6.1893945,6.2842615,6.320135,6.282856,6.5623395,6.463662,6.5178965,6.2919655,6.6141525,6.516845,6.5562565,6.5151,6.367189,6.271757,6.4316645
ENSG00000198556,ZNF789,9.245372,9.236642667,9.543052333,9.177925667,9.294098667,9.280542333,9.354068667,9.298807667,9.885635,9.234760667,9.987325,9.430426,9.23506,9.216733333,9.114579,9.365931667,9.097769,9.175937,9.271221667,9.135625333,9.412846667,9.292017667,9.315221333,9.454303
ENSG00000196152,ZNF79,7.834477,8.097687,7.749067,8.218075,8.037494,8.302594,8.056287,8.522409,8.259133,8.108877,7.940804,8.092605,7.970847,8.030886,7.945894,8.196434,7.700935,8.07259,8.017375,8.134458,8.045923,8.009464,8.122274,7.770737
ENSG00000197863,ZNF790,4.045035,4.512304,4.657267,4.344109,3.667883,5.214255,3.985997,4.020238,3.821875,4.734613,4.698174,4.454167,3.991555,4.350988,4.3316,3.909894,3.747818,4.529571,3.867275,4.532919,4.013401,3.540356,4.389321,3.649941
