ENSEMBL,Symbol,H_CT8,H_CT12,H_CT16,H_CT20,H_CT24,H_CT28,L_CT8,L_CT12,L_CT16,L_CT20,L_CT24,L_CT28
ENSG00000196262,PPIA,8.214448,7.453918,8.296046,8.155521,6.33453,6.834812,8.391655,7.723913,8.199035,8.302867,8.498719,8.339281
ENSG00000166794,PPIB,11.819585,11.853601,12.041493,11.894602,11.644365,11.853574,11.735277,11.829319,11.696449,11.296238,11.801916,11.795497
ENSG00000168938,PPIC,5.082184,5.378803,5.389582,5.482791,4.862689,5.206607,5.947827,5.721395,5.665064,4.709909,4.727024,5.700699
ENSG00000171497,PPID,8.3108395,7.9246855,8.08739125,8.04591575,7.7787285,7.8491925,8.093732,8.26343275,7.99377425,8.23043125,8.03708325,8.18720025
ENSG00000084072,PPIE,8.63541525,8.75736425,8.9069985,8.690917,8.893231,9.02415675,8.9297995,8.82275625,8.7042365,8.782501,9.08876625,8.97743875
ENSG00000108179,PPIF,10.2796385,9.943889,10.3479145,10.4041075,9.948929,9.929081,10.7623445,10.580651,10.738656,10.6511665,10.4809805,10.670372
ENSG00000138398,PPIG,9.32948075,9.2566005,9.30215275,9.33587625,9.017686,9.4260055,8.76272675,9.06072775,8.93137875,9.29790825,9.15197625,9.0689135
ENSG00000171960,PPIH,9.4628085,9.524933,9.7687295,9.586444,9.336363,9.8067035,9.355245,9.355629,9.333569,9.32172,9.598715,9.501239
ENSG00000137168,PPIL1,8.234793,8.442033,8.331021,8.388739,8.578685,8.794938,7.895481,8.081529,7.717205,8.065597,8.561478,8.207429
ENSG00000100023,PPIL2,6.875083,6.957025667,7.052231,7.062481,7.317483667,7.355310667,7.291429667,7.152834333,6.829501,6.921572333,7.124395,7.230959
ENSG00000240344,PPIL3,9.358921,9.447932,9.307627,9.46595,9.73375,9.997154,9.631748,9.775934,9.471029,9.820684,9.998899,9.902668
ENSG00000131013,PPIL4,7.45657625,7.5618035,7.442848,7.52727875,7.8232465,7.75111025,7.69246525,7.75694675,7.916783,7.758378,7.6176325,7.62650425
ENSG00000185250,PPIL6,3.654845,3.581143,4.211633,3.670308,4.118277,3.862923,3.798501,4.134136,4.255498,3.496732,3.647479,4.338337
ENSG00000168781,PPIP5K1,7.780606,8.239156,8.048539,7.9148355,9.154306,8.4981215,7.660614,7.5493845,7.4614425,7.4404145,7.8639005,8.1313175
ENSG00000145725,PPIP5K2,8.79871375,8.8491515,8.474029,8.5070555,8.53386925,8.94369475,8.77250625,9.06715625,8.91690575,9.361151,8.97394075,9.02889575
ENSG00000118898,PPL,3.913935,3.934903,4.037631,4.006689,4.136475,3.899313,3.713036,4.56112,3.69004,3.905988,4.022148,4.322657
ENSG00000100614,PPM1A,8.8706022,8.470941,8.6494534,8.7528418,8.3142164,8.2263576,8.717254,8.6721892,8.6031208,8.9211244,8.5249076,8.8224884
ENSG00000138032,PPM1B,9.0060135,8.878207,8.66282725,8.79044525,8.8294795,8.885964,8.7374385,8.80354975,8.887196,8.92499425,8.7954125,8.9009455
ENSG00000170836,PPM1D,8.414932333,8.04514,8.444742,8.329917667,7.950025667,7.791915667,8.490890667,8.887415,8.640067333,8.650734333,8.390655667,8.517179333
ENSG00000175175,PPM1E,4.060145,4.308029,4.092321667,4.132158667,4.271901667,4.151752,4.055041667,3.908925333,4.304153,4.390729,4.305149667,4.284172667
ENSG00000100034,PPM1F,10.938648,10.827149,10.8211205,10.7894095,10.522509,10.364099,11.8664655,11.88989,11.7803295,11.616474,11.534361,11.603285
ENSG00000115241,PPM1G,10.632887,10.608221,10.878896,10.755425,10.749936,10.638648,10.554482,10.45229,10.550115,10.593139,10.666939,10.569195
ENSG00000111110,PPM1H,5.8165655,5.5546905,5.9323355,5.5151425,5.502159,5.3979485,6.05378,6.2389645,6.197222,6.232976,5.9955005,5.776342
ENSG00000155367,PPM1J,5.343715667,5.352980667,5.487251667,5.239171333,5.256346333,5.137348333,5.143512,5.183452333,4.929882667,5.427092667,5.199039,4.941179333
ENSG00000163644,PPM1K,7.885618,7.474788,7.695767,7.471164,7.418677,8.093999,7.42265,7.352669,7.668425,7.89721,7.803517,7.64709
ENSG00000163590,PPM1L,4.3580015,4.114909,4.27113,4.3276145,4.35675,4.1588375,4.3041755,4.180479,4.204473,4.1327345,4.387881,3.969344
ENSG00000164088,PPM1M,10.280381,10.459393,10.374729,10.243985,10.784941,10.810383,10.714063,10.632181,10.400112,10.318175,10.440403,10.645666
ENSG00000214517,PPME1,8.5666275,8.49059,8.6837075,8.75106,8.2541865,8.230942,8.7307215,8.5636515,8.31123,8.5644015,8.576167,8.6225475
ENSG00000143224,PPOX,8.77772,8.904677,8.67028,8.806916,9.55986,9.540484,8.763604,8.55414,8.060186,8.063572,8.542703,8.578806
ENSG00000213639,PPP1CB,9.9497776,9.710708,9.5311538,9.6165078,9.405007,9.564972,9.5925176,9.8134038,9.7554124,9.733232,9.492107,9.821185
ENSG00000186298,PPP1CC,11.06333067,10.994639,11.055823,11.107399,10.84848467,11.118472,10.97408,10.969449,11.172615,10.986631,11.11575967,11.01654
ENSG00000204569,PPP1R10,8.868854,8.543481,8.955201,8.766069,8.278286,8.107199,8.964553,9.021444,8.923718,8.963925,9.03585,9.047505
ENSG00000204619,PPP1R11,10.569371,10.536418,10.467642,10.456465,10.375371,10.429543,10.488019,10.635822,10.631973,10.524162,10.449989,10.601588
ENSG00000058272,PPP1R12A,8.527132667,8.50172,8.509532,8.554760667,8.168256667,8.256994667,8.416354333,8.635909,8.584162667,8.738942,8.517786333,8.534354333
ENSG00000077157,PPP1R12B,6.230055,6.4605805,6.2655055,6.2267105,6.1490045,6.406691,6.938003,7.3250795,7.378585,7.386158,6.9371815,7.2085755
ENSG00000125503,PPP1R12C,6.9771085,6.932014,6.998778,6.991374,7.45572,7.048818,6.7868705,6.916737,6.595026,6.650258,6.8608425,6.777594
ENSG00000088808,PPP1R13B,7.503927,7.551097667,7.744480333,7.595850333,7.806210667,7.729619,7.325109333,7.317801667,7.071384333,7.559833333,7.367384333,7.271879667
ENSG00000104881,PPP1R13L,5.985965,6.293855,6.01269,6.071489,6.530891,6.194283,6.11222,5.419291,5.623616,5.856897,5.962086,6.068824
ENSG00000167641,PPP1R14A,6.533512,6.771396,6.744288,6.590069,6.927975,6.810986,5.718772,5.56278,5.770071,5.617789,6.021456,6.22798
ENSG00000173457,PPP1R14B,8.001245,7.96916,7.927823,7.870025,7.971457,7.797318,7.826206,7.527822,7.447924,7.407436,7.938124,7.769681
ENSG00000198729,PPP1R14C,4.285645,4.09786,3.875106,4.2445,3.73813,4.100638,3.197947,3.335972,3.991453,3.456539,3.624392,3.4877
ENSG00000166143,PPP1R14D,4.563075,4.154956,4.647566,4.465423,4.237809,4.174314,4.40526,4.343072,4.31789,4.67628,4.723003,4.360874
ENSG00000087074,PPP1R15A,8.223517,8.088736,8.248121,8.049155,7.92546,7.970457,8.770326,8.688274,8.657178,8.344512,8.485765,8.330141
ENSG00000158615,PPP1R15B,10.786563,10.723765,10.6486295,10.711381,10.3973155,10.513661,10.7422965,10.9484265,10.9910745,10.994608,10.722938,10.7756435
ENSG00000160972,PPP1R16A,5.673473,5.882137,5.421696,5.80479,6.155253,6.356788,5.655992,5.400179,4.965367,4.990349,5.978302,5.963822
ENSG00000101445,PPP1R16B,9.227702,9.269988,9.303329,9.439062,9.626338,9.53765,8.739799,8.769412,8.763152,8.648765,9.147603,9.069325
ENSG00000135447,PPP1R1A,4.625532333,4.691635333,4.750312,4.634789667,4.708096,4.591602333,4.584961667,4.647164,4.390522667,4.701407667,4.717772667,4.589224333
ENSG00000131771,PPP1R1B,4.516257,4.686437,4.673205,4.602685,4.419797,4.490214,4.25091,4.404391,4.485198,4.309586,4.498735,4.453161
ENSG00000150722,PPP1R1C,2.862271333,2.933695667,3.072804667,3.064686,2.890320333,2.866516,3.190297333,2.836307667,3.352612,2.824221,2.861924,2.934676333
ENSG00000184203,PPP1R2,8.349506667,8.283697333,8.263359667,8.392552,8.439562667,8.408664667,8.167633,8.027357333,8.202030667,8.168652333,8.31464,8.291407667
ENSG00000154415,PPP1R3A,3.0639395,3.491246,3.385111,3.412245,3.383432,3.297734,3.763155,3.6233555,3.6812845,3.4518945,3.39057,3.869341
ENSG00000173281,PPP1R3B,8.791004,8.08826,8.600566,8.591875,8.133539,7.646579,9.417468,9.601109,9.978741,9.826927,9.028724,9.221178
ENSG00000119938,PPP1R3C,2.259807,2.721545,2.814517,2.580259,2.373693,2.788732,2.777625,2.729024,3.496499,2.722813,2.4923,2.615672
ENSG00000132825,PPP1R3D,9.99643,9.850384,9.987511,9.910257,9.83271,9.852449,10.254977,10.469354,10.485262,10.509194,10.124957,10.29743
ENSG00000235194,PPP1R3E,9.027021,9.305691,8.920617,9.231856,9.616492,9.643525,8.711277,8.668763,8.74552,8.973184,8.962234,9.055272
ENSG00000049769,PPP1R3F,6.634311,6.496397,6.957878,6.866038,7.148342,7.070784,6.862308,6.599335,6.491858,6.500044,6.936923,6.838495
ENSG00000219607,PPP1R3G,5.901564,5.887986,5.888404,5.911467,5.762526,5.658365,5.578502,5.167383,4.634883,5.510562,5.399253,4.953822
ENSG00000115685,PPP1R7,9.303659,9.184937333,9.432104,9.523527667,9.321418333,9.250669667,9.244199667,9.081130667,9.070065,9.177297333,9.392847333,9.277595667
ENSG00000117751,PPP1R8,9.546212,9.491637667,9.540108,9.673164333,9.307179,9.490371,9.253799,9.385865667,9.34831,9.455941,9.458901,9.408312
ENSG00000158528,PPP1R9A,3.964859,3.593857667,3.873555667,3.609794667,3.916513333,3.712633,3.761491667,3.683490667,3.923165667,3.484768333,4.010688667,3.946254333
ENSG00000108819,PPP1R9B,11.469621,11.276549,11.391015,11.345805,10.999416,10.968066,11.333204,11.466418,11.346679,11.282502,11.041258,11.341273
ENSG00000113575,PPP2CA,10.5259275,10.4489625,10.5898,10.452362,10.304272,10.4751275,10.3486775,10.5089655,10.4569225,10.444539,10.4098065,10.4962495
ENSG00000104695,PPP2CB,8.768551,8.7797005,8.7090655,8.718471,8.5891085,8.7522255,8.7711705,8.79532,8.6419435,8.74254,8.814161,8.8242525
ENSG00000105568,PPP2R1A,11.051599,11.07619,11.309395,11.195706,10.886471,10.898425,11.176326,11.098966,11.087751,10.99338,11.190073,11.224361
ENSG00000137713,PPP2R1B,6.821404333,6.8970055,6.897520667,6.8544025,6.856322833,6.8275255,6.649817667,6.689917667,6.582612,6.826312667,6.725972333,6.803580833
ENSG00000221914,PPP2R2A,10.4428505,10.240181,10.431179,10.2303995,10.340592,10.2404615,10.4929275,10.5806005,10.5007175,10.474044,10.440127,10.571635
ENSG00000156475,PPP2R2B,8.3586035,8.3129235,8.2440685,8.0814915,7.8395245,7.6868265,7.788916,8.1167555,7.979969,7.923983,7.7858725,7.946265
ENSG00000074211,PPP2R2C,3.86191775,4.1149635,4.0336445,4.044769,4.009618,4.2715,4.0986905,4.31815675,4.1374895,4.1077535,3.912421,3.99790475
ENSG00000175470,PPP2R2D,8.9705095,9.099134,9.199177,9.054852,9.101642,9.093345,9.3512495,9.24411,9.1801815,9.2091815,9.3513125,9.2832885
ENSG00000073711,PPP2R3A,5.0345595,4.9195475,4.4722015,5.1737225,5.103333,5.1183615,4.8183975,4.9933715,5.0414715,5.863206,6.033074,5.267563
ENSG00000167393,PPP2R3B,5.850069,6.19479,6.095851,5.83273,6.3484,6.26299,6.03137,5.726201,5.562214,5.377997,6.198164,6.000872
ENSG00000092020,PPP2R3C,8.6091335,8.776655,8.667025,8.5008915,8.805215,8.667371,8.7508455,8.7449065,8.6366945,8.740405,8.692777,8.459929
ENSG00000066027,PPP2R5A,6.937389333,7.013175333,6.943497,6.995636,7.023249667,7.040915333,7.245440333,7.149678667,7.161344333,7.126975667,7.142178333,7.143141667
ENSG00000068971,PPP2R5B,7.674389,7.571691,7.639663,7.414536,7.732257,7.816347,7.349425,7.473159,7.104815,7.576657,7.17934,7.314625
ENSG00000078304,PPP2R5C,9.490762875,9.39464775,9.52043225,9.434528875,9.456130875,9.491663625,9.224094875,9.320834375,9.3058285,9.499797125,9.413255875,9.355723375
ENSG00000154001,PPP2R5E,8.651925333,8.638836667,8.534108333,8.714476,8.460157667,8.489124667,8.549570667,8.505757,8.606801667,8.942477,8.442192,8.492409333
ENSG00000138814,PPP3CA,9.592607,9.590410333,9.635887667,9.659593,9.421788833,9.366633833,9.734386333,9.746083,9.7513015,9.9640275,9.633261833,9.664808167
ENSG00000107758,PPP3CB,10.664957,10.66290367,10.68514133,10.66737433,10.78229067,10.87223367,10.40578233,10.410558,10.27838833,10.53896433,10.59382433,10.633689
ENSG00000120910,PPP3CC,8.434553,8.6156855,8.9801365,8.871112,8.7338425,8.728077,8.6378125,8.3119625,8.3830905,8.522373,8.63322,8.5265825
ENSG00000221823,PPP3R1,10.0928235,9.559522,10.0866895,9.9093575,9.06315,9.028315,10.243146,10.173917,10.186719,10.2232655,9.9712775,10.1005
ENSG00000188386,PPP3R2,3.352551667,3.292351667,3.394115333,3.354704,3.471201,3.441148333,3.329695333,3.441263,3.385418333,3.309593,3.474351333,3.474693
ENSG00000149923,PPP4C,9.402904,8.923067,9.689046,9.378414,8.851404,8.746448,9.876366,9.971838,9.9653,9.717666,9.835789,9.859584
ENSG00000154845,PPP4R1,11.297978,11.045658,11.094363,11.171718,11.19005,10.642481,11.633002,11.537197,11.548657,11.455378,11.351462,11.337164
ENSG00000163605,PPP4R2,9.836746667,9.859086333,9.5981,9.695584667,9.905432667,10.04173867,9.563274,9.757749667,9.597851667,9.715374,9.619034333,9.833084
ENSG00000119698,PPP4R4,3.539994,3.649453,3.702367,3.62611,3.4427345,3.838661,3.9915085,3.931698,4.4699335,3.917372,4.10425,3.741942
ENSG00000011485,PPP5C,6.619012,6.604892,7.026971,6.989145,6.548625,6.478197,6.896216,6.843246,6.760772,6.504345,7.129979,6.879599
ENSG00000119414,PPP6C,9.7500422,9.7341746,9.8144166,9.7661302,9.571434,9.7353748,9.4972838,9.6306,9.6529826,9.7574452,9.7612164,9.729302
ENSG00000148840,PPRC1,8.762955,8.729531,8.7988385,9.0415335,9.5359055,9.1580745,8.84615,8.5787865,8.629628,8.624972,8.8440765,8.931823
ENSG00000131238,PPT1,12.105814,12.07468,11.984534,11.968202,12.046421,11.955316,12.715861,12.725189,12.767614,12.707067,12.587507,12.711433
ENSG00000221988,PPT2,6.200536,5.825868,5.919003,6.22021,5.94063,6.303872,5.349067,5.749565,5.399555,5.780295,6.068419,6.23232
ENSG00000196850,PPTC7,11.753039,11.6183205,11.574668,11.527623,11.4055835,11.471711,11.640513,11.678132,11.7263145,11.6987605,11.627208,11.627512
ENSG00000113593,PPWD1,9.020936,9.186033333,9.033343667,9.197338333,9.163846333,9.450036,8.778945,8.764652667,8.826471,9.035598333,9.057080667,8.842176333
ENSG00000108849,PPY,4.224535,4.345705,4.393096,4.546574,4.285355,4.384218,4.252163,4.367811,3.594374,4.456126,4.418658,4.610997
ENSG00000102103,PQBP1,7.947446667,7.979787,8.184971,8.094565,7.997673667,8.028311667,8.017741333,8.014582333,7.839933,7.9692,8.240027,7.970759333
ENSG00000243279,PRAF2,8.951802,8.895556,9.155456,9.264837,9.096392,9.039143,9.281881,9.158992,9.142019,8.929879,9.097137,9.199393
ENSG00000133246,PRAM1,10.458614,10.61353,10.580312,10.437817,10.561306,9.983317,11.321269,11.309103,10.981747,10.72575,10.864795,11.107115
ENSG00000185686,PRAME,4.153613,4.463135,4.507769,4.384521,4.423773,4.177635,4.12556,4.155887,4.622922,4.398205,4.035113,4.390904
ENSG00000116726,PRAMEF12,3.466607,3.595483,3.435881,3.342853,3.704516,3.349126,3.548489,3.324883,3.909853,3.578364,3.530448,3.819888
ENSG00000165828,PRAP1,5.537251,5.6859675,5.670478,5.5677225,5.308754,5.465455,5.391708,5.6687445,5.321815,5.6826885,5.3062355,5.462257
ENSG00000251655,PRB1,5.422268,5.306811,5.533813,5.271321,5.156403,4.631,4.614802,5.436738,5.205643,5.419158,5.313728,5.021845
ENSG00000121335,PRB2,7.318521,7.685405,7.597379,7.525772,7.306592,7.738869,7.60152,7.733774,7.379708,7.51303,7.31785,7.402392
ENSG00000197870,PRB3,5.087577,4.416178,4.845238,4.89044,5.717033,4.72115,5.597028,5.831964,5.794815,5.521743,6.357698,6.10794
ENSG00000230657,PRB4,3.251632,3.509823,3.590466,3.347277,3.646141,3.334388,3.457796,3.457269,3.476948,3.181407,3.205518,3.340559
ENSG00000198901,PRC1,6.401575,6.052543,6.268258,6.256765,6.627201,6.575944,5.950186,5.963248,6.049332,5.702501,6.06187,6.303344
ENSG00000143294,PRCC,9.252252,9.124046333,9.431240333,9.393318333,9.05708,9.161549667,9.354672333,9.374196333,9.295485,9.167782,9.295536333,9.415472
ENSG00000214140,PRCD,5.557843333,5.462317,5.355555,5.386064667,5.302356,5.371348667,5.627872333,5.560056,5.350832333,5.355571667,5.621026667,5.368438667
